,N,Query,Annotation_date,Number,Individual_code,Individual,Birth_year,File_name,Original_link,Hyperlink,Context,Item,Realization_raw,Realization_type,Binary_response,Stressed,Gram_type,Case,pos
74,77,words_in_uju,1606,147896,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-3128372-3139505.wav,"И потом на него кто - то, ведь всякие враги - то есть, кто - то донес, что был там какой - то будто бы, что заговор на кого - то там, на #советскую# власть ли, на кого - то, не знаю.",советскую,uju,VjV,nondialectal,N,nonpronominal,acc,3133938.5
75,78,words_in_uju,1606,148788,егп1928,егп,1928.0,20140624b-egp-1,,http://192.168.0.50/Pushkino/OUT/20140624b-egp-1-3461077-3466194.wav,"Отец #березовую# чурку бросил на пол дак, вот, делите, вот вам дележ.",березовую,u,V,dialectal,N,nonpronominal,acc,3463635.5
76,79,words_in_uju,1606,266518,пфп1928,пфп,1928.0,I20130625c3,,http://192.168.0.50/Pushkino/OUT/I20130625c3-553506-556436.wav,"Ишь я теперь уж, #какую# = платье ношу какое.",какую,u,V,dialectal,Y,pronominal,acc,554971.0
77,80,words_in_uju,1606,268501,пфп1928,пфп,1928.0,I20130625c3,,http://192.168.0.50/Pushkino/OUT/I20130625c3-1171238-1175059.wav,Она сделает просто #экую# ... как тебе сказать?,экую,uju,VjV,nondialectal,N,pronominal,acc,1173148.5
78,81,words_in_uju,1606,270412,пфп1928,пфп,1928.0,I20130625c3,,http://192.168.0.50/Pushkino/OUT/I20130625c3-1800262-1805190.wav,Ольга - то #трехлитровую# бутыль от Николая Николаевича принесла молока.,трехлитровую,u,V,dialectal,N,nonpronominal,acc,1802726.0
79,82,words_in_uju,1606,275694,пфп1928,пфп,1928.0,20140622d-pfp,,http://192.168.0.50/Pushkino/OUT/20140622d-pfp-326752-332633.wav,"Ой, слушай, Ольга принесёт < всей > еды, я печь вытоплю #русскую# ...",русскую,uju,VjV,nondialectal,N,nonpronominal,acc,329692.5
80,83,words_in_uju,1606,275703,пфп1928,пфп,1928.0,20140622d-pfp,,http://192.168.0.50/Pushkino/OUT/20140622d-pfp-336651-343395.wav,"Печь #русскую# вытоплю, а тут <? > делаю и печку топлю.",русскую,uju,VjV,nondialectal,N,nonpronominal,acc,340023.0
81,84,words_in_uju,1606,275807,пфп1928,пфп,1928.0,20140622d-pfp,,http://192.168.0.50/Pushkino/OUT/20140622d-pfp-378207-386602.wav,"Ак он всё, <? > вот, от их носил молоко, #трёхлитровую# берёт бутылку, молока.",трёхлитровую,u,V,dialectal,N,nonpronominal,acc,382404.5
82,85,words_in_uju,1606,279533,пфп1928,пфп,1928.0,20140622d-pfp,,http://192.168.0.50/Pushkino/OUT/20140622d-pfp-1855342-1858185.wav,"Я ведь в Москве жила, зиму < всё > #целую# .",целую,uju,VjV,nondialectal,N,nonpronominal,acc,1856763.5
83,86,words_in_uju,1606,279580,пфп1928,пфп,1928.0,20140622d-pfp,,http://192.168.0.50/Pushkino/OUT/20140622d-pfp-1879298-1887440.wav,"Вон как родит, дак тёлочку #маленькую# держишь дак, вырастишь вот, опять сдашь на мясо государству.",маленькую,uju,VjV,nondialectal,N,nonpronominal,acc,1883369.0
84,87,words_in_uju,1606,286383,авт1928,авт,1928.0,20130703d-avt,,http://192.168.0.50/Pushkino/OUT/20130703d-avt-956827-968251.wav,"Дак давай маму - то звал, что поедем в #лесную# промышленность, там лес = тут се = лесохимия была.",лесную,uju,VjV,nondialectal,Y,nonpronominal,acc,962539.0
85,88,words_in_uju,1606,288069,авт1928,авт,1928.0,20130703d-avt,,http://192.168.0.50/Pushkino/OUT/20130703d-avt-2034579-2044004.wav,"Да у меня е =, у меня ещё свекровка дак на печи всё пересушит этот лист, а вот коровушке - то шаечку #деревянную# заварят.",деревянную,uju,VjV,nondialectal,N,nonpronominal,acc,2039291.5
86,89,words_in_uju,1606,289793,авт1928,авт,1928.0,20130703d-avt,,http://192.168.0.50/Pushkino/OUT/20130703d-avt-3185849-3187761.wav, #Общественную# нагрузку несёт.,Общественную,u,V,dialectal,N,nonpronominal,acc,3186805.0
87,90,words_in_uju,1606,291956,авт1928,авт,1928.0,20130703d-avt,,http://192.168.0.50/Pushkino/OUT/20130703d-avt-4922127-4929180.wav,"Вот, например, выкует кузнец вот #такую# шлёпку тут.",такую,uju,VjV,nondialectal,Y,pronominal,acc,4925653.5
88,91,words_in_uju,1606,293647,пфп1928,пфп,1928.0,I20130625c2,,http://192.168.0.50/Pushkino/OUT/I20130625c2-624314-630593.wav,"Вот чего нет дак нет, он дедка этого и не представлял, что там на охоту #какую# , нет.",какую,uju,VjV,nondialectal,Y,pronominal,acc,627453.5
89,92,words_in_uju,1606,294189,пфп1928,пфп,1928.0,I20130625c2,,http://192.168.0.50/Pushkino/OUT/I20130625c2-836171-850576.wav,"Сочни раст = растворишь, сочни сделаешь, а на сочни накладёшь тесто и загнёшь и в печь в #русскую# на лопате, фшить",русскую,uju,VjV,nondialectal,N,nonpronominal,acc,843373.5
90,93,words_in_uju,1606,294810,пфп1928,пфп,1928.0,I20130625c2,,http://192.168.0.50/Pushkino/OUT/I20130625c2-1082486-1094643.wav,"Кругом чтобы, чтобы не тесто - то не выехало, а чтобы, и в печь в #русскую# , ой да как хорошо - то дак, да печь - то, да русская - то, да жарка - то, да хорошо - то, да вкусно - то.",русскую,u,V,dialectal,N,nonpronominal,acc,1088564.5
