,Index,Subject,Birth year,Record,Link,FileLink,Context,Word,Dissimilation,Num,pos
487,261863,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-241124-241600.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-241124-241600.wav, #Кто# ?,хто,yes,1.0,241362.0
488,261943,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-282385-288301.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-282385-288301.wav,То Катерина Дмитриевна? Или #кто# там сра =... это ра = работать - то кто начал?,хто,yes,1.0,285343.0
489,261956,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-282385-288301.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-282385-288301.wav,То Катерина Дмитриевна? Или кто там сра =... это ра = работать - то #кто# начал?,хто,yes,1.0,285343.0
490,262702,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-713915-719408.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-713915-719408.wav,"Если матерь < на трудоднях >, дак то потом есть, а если так, дак где ты, #кто# тебе рожь даст.",хто,yes,1.0,716661.5
491,263019,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-861694-862927.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-861694-862927.wav, #Кто# знает...,хто,yes,1.0,862310.5
492,263578,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1126778-1130336.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1126778-1130336.wav,< Что > в детский дом сдали дак... #кто# знает теперь что с ними.,хто,yes,1.0,1128557.0
493,263612,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1139548-1141210.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1139548-1141210.wav," #Кто# знает, отец был или нет.",хто,yes,1.0,1140379.0
494,263745,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1232437-1233450.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1232437-1233450.wav, #Кто# знает...,хто,yes,1.0,1232943.5
495,263755,лсо1941,1941,20130627a-lso-1,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1242621-1244608.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130627a-lso-1-1242621-1244608.wav,Ой... весёлых #кто# знает...,хто,yes,1.0,1243614.5
496,268180,лсо1941,1941,20140703b-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-0-5357.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-0-5357.wav,"Ведь #кто# чем бил, масло... масло, ну опять же то что, ну...",хто,yes,1.0,2678.5
497,268298,лсо1941,1941,20140703b-lso,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-40035-52156.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140703b-lso-40035-52156.wav,"Это значит назавтра, если #кто# на работу пошел, дак это молочка нальют, из - под гвоздика, называют, из - под гвоздика молока сегодня бабка дала - дак свернулось.",хто,yes,1.0,46095.5
